Left-genes	Right-genes	Spans large gene (>200000bp)	STAR-Fusion	Fusioncatcher
HAPLN3	TMSB4X	FALSE		48=chr15:88877623-chrX:12976854
HMGN1	CD74	FALSE		31=chr21:39342699-chr5:150409707
PFN1	MYH9	FALSE		23=chr17:4946762-chr22:36332675,24=chr17:4946762-chr22:36347804,25=chr17:4946762-chr22:36290343,26=chr17:4946763-chr22:36332675,27=chr17:4946763-chr22:36347804,28=chr17:4946763-chr22:36290343
LRRC75A-AS1	LOC400927-CSNK1E	FALSE		68=chr17:16441746-chr22:38325318,69=chr17:16441746-chr22:38306733,70=chr17:16441746-chr22:38329748,71=chr17:16441746-chr22:38325317,72=chr17:16441746-chr22:38306732,73=chr17:16441747-chr22:38330351,74=chr17:16441746-chr22:38330351,75=chr17:16441747-chr22:38306732,76=chr17:16441746-chr22:38329747,77=chr17:16441747-chr22:38329747,78=chr17:16441746-chr22:38330352
ACTG1	EEF1A1	FALSE		6=chr17:81512788-chr6:73518099,7=chr17:81512789-chr6:73518100
SLC7A5	CD74	FALSE		64=chr16:87830330-chr5:150410683
PDXDC1:RRN3	SEPT11	FALSE		156=chr16:15075252-chr4:77038026,157=chr16:15089795-chr4:77038026
CORO7:CORO7-PAM16:VASN	TOP2A	FALSE		65=chr16:4380061-chr17:40399988,66=chr16:4380060-chr17:40399988
CNN2	CD74	FALSE		8=chr19:1038069-chr5:150410682,9=chr19:1038069-chr5:150410683
OAZ1	GNAS	FALSE		114=chr19:2273010-chr20:58868465,115=chr19:2273010-chr20:58868467,136=chr19:2273096-chr20:58891772
ICAM1	H2AFZ	FALSE		122=chr19:10280882-chr4:99948342
USF2	ACTB	FALSE		50=chr19:35279031-chr7:5528474
GTSE1	RPS20	FALSE		116=chr22:46299975-chr8:56074452,117=chr22:46299974-chr8:56074455,118=chr22:46299975-chr8:56074455
TNFRSF8	CCDC88B	FALSE		33=chr1:12104486-chr11:64344030
TARDBP	SVIL	TRUE		162=chr1:11023078-chr10:29694235,163=chr1:11023078-chr10:29694237,164=chr1:11023077-chr10:29694236,165=chr1:11023077-chr10:29694237,166=chr1:11023076-chr10:29694237
CSDE1	COPZ1	FALSE		10=chr1:114725330-chr12:54325828,11=chr1:114725331-chr12:54325828,15=chr1:114725330-chr12:54325829,16=chr1:114725330-chr12:54326977,17=chr1:114725330-chr12:54342869,18=chr1:114725330-chr12:54331189,20=chr1:114725331-chr12:54326977,21=chr1:114725331-chr12:54342869,22=chr1:114725331-chr12:54331189
ARPC5	BCAT1	FALSE		55=chr1:183626969-chr12:24928636,56=chr1:183627200-chr12:24928634,57=chr1:183626969-chr12:24928634,58=chr1:183626971-chr12:24928636
PEA15	PSMA7	FALSE		29=chr1:160211543-chr20:62137380,30=chr1:160211542-chr20:62137381
CAPZB	LAPTM5	FALSE		59=chr1:19442013-chr1:30733754,60=chr1:19442014-chr1:30733754,61=chr1:19442013-chr1:30733755,62=chr1:19442014-chr1:30733755,63=chr1:19442014-chr1:30733756
FAM129A	UBA3	FALSE		172=chr1:184791973-chr3:69076586
WASF2	ACTB	FALSE		178=chr1:27456324-chr7:5527498,179=chr1:27456327-chr7:5527499,180=chr1:27456325-chr7:5527498,181=chr1:27456326-chr7:5527498,182=chr1:27456327-chr7:5527498,183=chr1:27456324-chr7:5527495,184=chr1:27456325-chr7:5527499,185=chr1:27456326-chr7:5527499,186=chr1:27456327-chr7:5527501,187=chr1:27456328-chr7:5527501,188=chr1:27456328-chr7:5527499,189=chr1:27456321-chr7:5527494,190=chr1:27456320-chr7:5527494,191=chr1:27456323-chr7:5527495,192=chr1:27456324-chr7:5527499,193=chr1:27456328-chr7:5527502
NRDC	TUBB	FALSE		130=chr1:51863019-chr6:30724520,131=chr1:51863020-chr6:30724520,132=chr1:51863018-chr6:30724520,133=chr1:51863018-chr6:30724521,134=chr1:51863019-chr6:30724521,135=chr1:51863020-chr6:30724521
RPS6KA1	HNRNPK	FALSE		155=chr1:26550196-chr9:83972135
RHOA	UBQLN1	FALSE		173=chr3:49359744-chr9:83673565,174=chr3:49359746-chr9:83673566,175=chr3:49359746-chr9:83673567,176=chr3:49359583-chr9:83691137
CLDND1	PHF14	FALSE		137=chr3:98515925-chr7:10986164
TNIK	ABRACL	TRUE		167=chr3:171350603-chr6:139042949
ACTR3	LINC01191	FALSE		32=chr2:113955706-chr2:114007019
HDLBP	SRSF3	FALSE		119=chr2:241241586-chr6:36602724
CD74	TMSB4X	FALSE		2=chr5:150402052-chrX:12976969,3=chr5:150402055-chrX:12976966
CD74	TUBB	FALSE		5=chr5:150409706-chr6:30724516
CD74	HSP90AB1	FALSE		34=chr5:150410681-chr6:44251135,35=chr5:150410682-chr6:44251135,36=chr5:150410682-chr6:44251134,37=chr5:150410680-chr6:44251135
HNRNPAB:PHYKPL	EEF1A1	FALSE		40=chr5:178210869-chr6:73519230
PHF20	HINT1	FALSE		138=chr20:35932444-chr5:131162674,139=chr20:35926246-chr5:131162674,140=chr20:35806178-chr5:131162674,141=chr20:35932444-chr5:131162676,142=chr20:35926246-chr5:131162676,143=chr20:35806178-chr5:131162676,144=chr20:35932444-chr5:131162677,145=chr20:35926246-chr5:131162677,146=chr20:35806178-chr5:131162677
NFKBIA	DUSP4	FALSE		83=chr14:35401814-chr8:29343170,84=chr14:35401814-chr8:29343171
MARK3	WDR1	FALSE		124=chr14:103468806-chr4:10074739
SQRDL	ERBIN	FALSE	1=chr15:45658907-chr5:65926806,2=chr15:45658907-chr5:65926806	1=chr15:45658907-chr5:65926806
