Left-genes	Right-genes	Spans large gene (>200000bp)	STAR-Fusion	Fusioncatcher
AIRE	PFKL	FALSE		111=chr21:44296445-chr21:44306681
IL2RB	FLNA	FALSE		17=chr22:37128420-chrX:154354889
MYH9	ACTR8	FALSE		520=chr22:36345317-chr3:53873131
MYH9	INSIG1	FALSE		64=chr22:36290342-chr7:155309724,65=chr22:36347805-chr7:155309131,66=chr22:36384597-chr7:155309365,67=chr22:36332674-chr7:155309724,68=chr22:36310271-chr7:155308363,69=chr22:36316353-chr7:155309131,70=chr22:36347805-chr7:155309130
PITPNB	SAMD9	FALSE		146=chr22:27900210-chr7:93102437
MYH9	DLD	FALSE		521=chr22:36384599-chr7:107919291,522=chr22:36384598-chr7:107919291
SMC1B	YWHAG	FALSE		669=chr22:45353896-chr7:76327209
FBLN1	SARAF	FALSE		390=chr22:45547402-chr8:30063641
GLUL	EIF4G2	FALSE		53=chr1:182390226-chr11:10797648
TNFRSF8	MALAT1:TALAM1	FALSE		89=chr1:12094627-chr11:65502042,90=chr1:12079965-chr11:65501523,91=chr1:12094627-chr11:65502041
E2F2	HPS1	FALSE		371=chr1:23507516-chr10:98433232
ENO1	SRGN	FALSE		374=chr1:8861887-chr10:69103880
MAPKAPK2	PSAP	FALSE		494=chr1:206715618-chr10:71817384
PCNX2	FAM107B	TRUE		550=chr1:233291613-chr10:14520764,551=chr1:233276030-chr10:14519450
UHMK1	PTEN	FALSE		594=chr1:162527148-chr10:87880293,595=chr1:162527855-chr10:87966919,596=chr1:162527855-chr10:87939311
RAB3GAP2	CDK17	FALSE		334=chr1:220150527-chr12:96350347,604=chr1:220181890-chr12:96279962
HHAT	MLF2	TRUE		423=chr1:210349669-chr12:6748491
CAPZA1	RAD52	FALSE		606=chr1:112654520-chr12:919752,607=chr1:112654520-chr12:919751,608=chr1:112654519-chr12:919752
UBE4B	EIF4B	FALSE		746=chr1:10052084-chr12:53041633
TPM3	B2M	FALSE		22=chr1:154176657-chr15:44717676,23=chr1:154176657-chr15:44717674,24=chr1:154176659-chr15:44717674,25=chr1:154176660-chr15:44717674,26=chr1:154176655-chr15:44717676,27=chr1:154176659-chr15:44717672,28=chr1:154176660-chr15:44717672
RAB29	ANXA2	FALSE		271=chr1:205768508-chr15:60391898
TPR	OIP5-AS1	FALSE		735=chr1:186349662-chr15:41299152,736=chr1:186349664-chr15:41299152
EPRS	AP2B1	FALSE		186=chr1:220001213-chr17:35726221
BATF3	MSI2	TRUE		301=chr1:212695502-chr17:57680330
EFCAB14:EFCAB14-AS1	EFTUD2	FALSE		372=chr1:46676329-chr17:44856759
SFPQ	MSI2	TRUE		514=chr1:35184146-chr17:57615143,515=chr1:35184147-chr17:57615143,516=chr1:35184253-chr17:57615141,658=chr1:35178888-chr17:57680420,659=chr1:35178885-chr17:57682476,660=chr1:35178887-chr17:57682476
PRDX1	P4HB	FALSE		543=chr1:45514616-chr17:81848747,544=chr1:45514616-chr17:81848750,545=chr1:45514619-chr17:81848750,583=chr1:45518477-chr17:81843738,584=chr1:45518476-chr17:81843738
PSMA5	MYH9	FALSE		78=chr1:109402031-chr22:36282712
MACF1	NUP50	TRUE		481=chr1:39306173-chr22:45185717,482=chr1:39225219-chr22:45186724
CAPN2	SLC25A17	FALSE		665=chr1:223775146-chr22:40790349
CEP350	NTAN1:PDXDC1	FALSE		341=chr1:180016676-chr16:15038128
JTB	COG4	FALSE		348=chr1:153977426-chr16:70504912
CDC42SE1	AP3D1	FALSE		274=chr1:151052681-chr19:2139071,275=chr1:151052681-chr19:2139072
LMNA	FTL	FALSE		477=chr1:156127525-chr19:48965492
PSMB2	ACTN4	FALSE		588=chr1:35627267-chr19:38729705,589=chr1:35627266-chr19:38729706,590=chr1:35627267-chr19:38729706,591=chr1:35627267-chr19:38729704,592=chr1:35627265-chr19:38729706,593=chr1:35627266-chr19:38729705
RUNX3	PTBP1	FALSE		633=chr1:24953364-chr19:811517
RUNX3	TAF4B	FALSE		216=chr1:24899773-chr18:26389847
MAGI3	SLC39A6	TRUE		486=chr1:113682175-chr18:36109465,487=chr1:113679724-chr18:36109465
ARPC5	TCF4	TRUE		693=chr1:183627200-chr18:55275282,694=chr1:183626969-chr18:55573301,695=chr1:183626969-chr18:55429775,696=chr1:183626971-chr18:55573301,697=chr1:183626971-chr18:55429775,698=chr1:183626969-chr18:55429773,699=chr1:183626969-chr18:55573299,700=chr1:183627396-chr18:55340589,701=chr1:183627200-chr18:55422132,702=chr1:183627396-chr18:55505809,703=chr1:183626969-chr18:55322436
NUCKS1	RAB29	FALSE		10=chr1:205729621-chr1:205770733
ARID1A	CSRP1	FALSE		280=chr1:26738893-chr1:201484266
ARPC5	IRF2BP2	FALSE		286=chr1:183628188-chr1:234605782
NRAS	CAMSAP2	FALSE		317=chr1:114707185-chr1:200820077
HDGF	KLHL20	FALSE		471=chr1:156742628-chr1:173779365
SRSF11	NUCKS1	FALSE		532=chr1:70251547-chr1:205736835,533=chr1:70251549-chr1:205736834,534=chr1:70251549-chr1:205736835
ANP32E	PTPN14	TRUE		597=chr1:150229145-chr1:214366986,598=chr1:150229145-chr1:214366985
SELENON	EPRS	FALSE		644=chr1:25817233-chr1:219992922
RBBP4:SYNC	TP63	TRUE		728=chr1:32683911-chr3:189706531
GLUL	ACTR2	FALSE		237=chr1:182384185-chr2:65252244,238=chr1:182384277-chr2:65233013
TOMM20	ACTR3	FALSE		242=chr1:235111669-chr2:113911435,243=chr1:235110021-chr2:113911435,244=chr1:235110672-chr2:113940777
EPRS	STK17B	FALSE		375=chr1:220027429-chr2:196134508
JAK1	CXCR4	TRUE		449=chr1:64909658-chr2:136114686
KIF14	MOB1A	FALSE		467=chr1:200581117-chr2:74159255
S100A10	MOB1A	FALSE		509=chr1:151983317-chr2:74170726
RAB3GAP2	PTMA	FALSE		605=chr1:220150781-chr2:231712877
KPNA6	SEPT2	FALSE		647=chr1:32171472-chr2:241342553
S100A4	CD74	FALSE		19=chr1:153543774-chr5:150402009,20=chr1:153543769-chr5:150402004
CSDE1	CD74	FALSE		44=chr1:114717265-chr5:150409706
CDC42SE1	CD74	FALSE		194=chr1:151051642-chr5:150405162
PRDX1	CANX	FALSE		214=chr1:45520729-chr5:179730347
DDOST	ANXA6	FALSE		272=chr1:20653743-chr5:151126417
HNRNPU	LOC285696	FALSE		298=chr1:244855485-chr5:17194380,299=chr1:244855487-chr5:17194380
HNRNPU	BASP1	FALSE		300=chr1:244855488-chr5:17239109
CAPN2	MAT2B	FALSE		320=chr1:223739198-chr5:163518726,321=chr1:223739198-chr5:163518725,322=chr1:223739199-chr5:163518726
KHDRBS1	CD74	FALSE		331=chr1:32042752-chr5:150409708
EDEM3	DIAPH1	FALSE		365=chr1:184691080-chr5:141537495
SERBP1	LMNB1	FALSE		478=chr1:67412105-chr5:126800998,479=chr1:67412105-chr5:126800997
NUCKS1	SEC24D	FALSE		75=chr1:205717521-chr4:118780931,76=chr1:205717520-chr4:118780932,77=chr1:205715119-chr4:118744090,81=chr1:205717154-chr4:118818761,82=chr1:205717154-chr4:118818763,83=chr1:205717154-chr4:118818760,84=chr1:205717155-chr4:118818763,85=chr1:205717155-chr4:118818761
DDR2	ACTB	FALSE		198=chr1:162642469-chr7:5527495
SKI	ACTB	FALSE		217=chr1:2239686-chr7:5529392
UHMK1	ANLN	FALSE		269=chr1:162524906-chr7:36428792
CAPZB	CALU	FALSE		324=chr1:19405550-chr7:128770278
HEATR1	IFRD1	FALSE		422=chr1:236558150-chr7:112468000
HDGF	PHTF2	FALSE		555=chr1:156742627-chr7:77889593
ZYG11A	ACTB	FALSE		786=chr1:52847684-chr7:5527498,787=chr1:52890068-chr7:5527498
ENO1	EEF1A1	FALSE		32=chr1:8863908-chr6:73518569
ARF1	BAG6	FALSE		296=chr1:228098261-chr6:31643732,297=chr1:228098260-chr6:31643733
IRF2BP2	HBS1L	FALSE		420=chr1:234606830-chr6:135035775,421=chr1:234606830-chr6:135035774
GLUL	ORC3	FALSE		540=chr1:182384164-chr6:87606545,541=chr1:182383230-chr6:87659073
USP1	TNC	FALSE		92=chr1:62439960-chr9:115118041,93=chr1:62439960-chr9:115118042
BTF3L4	SURF4	FALSE		309=chr1:52080535-chr9:133363170,310=chr1:52080535-chr9:133363171
CAP1	FUBP3	FALSE		318=chr1:40072247-chr9:130603348,319=chr1:40072251-chr9:130603352
GLUL	FUBP3	FALSE		400=chr1:182384186-chr9:130607291,401=chr1:182384186-chr9:130607294,402=chr1:182384186-chr9:130607293,403=chr1:182384187-chr9:130607291
NUCKS1	SET	FALSE		531=chr1:205731896-chr9:128692880
ARF1	TMEM245	FALSE		716=chr1:228097166-chr9:109068372,717=chr1:228097165-chr9:109068372
CAPN2	ATRX	TRUE		294=chr1:223775148-chrX:77772311
PYGO2	MTHFD1	FALSE		517=chr1:154958239-chr14:64447470
CDC42	SEC23A	FALSE		639=chr1:22092416-chr14:39049176
FGD5-AS1	IL3RA	FALSE		435=chr3:14944844-chrX:1350436,436=chr3:14944842-chrX:1350436,437=chr3:14944842-chrX:1351053,438=chr3:14944844-chrX:1351053,439=chr3:14944844-chrX:1350746,440=chr3:14944842-chrX:1350746
TOP2B	IDS	FALSE		724=chr3:25634781-chrX:149479946,725=chr3:25634781-chrX:149482513,726=chr3:25634782-chrX:149482515,727=chr3:25634781-chrX:149482514
PARP14	DIAPH1	FALSE		547=chr3:122724660-chr5:141515902,548=chr3:122724659-chr5:141515902,549=chr3:122724659-chr5:141515903
FSTL1	ADD1	FALSE		248=chr3:120396268-chr4:2881089,249=chr3:120396268-chr4:2853124
RHOA	KIAA0232	FALSE		457=chr3:49360265-chr4:6792698
MBNL1	STIM2	FALSE		674=chr3:152464824-chr4:26918244
ARL6IP5	HIPK2	TRUE		428=chr3:69105429-chr7:139658307
CRYBG3:RIOX2	OGDH	FALSE		507=chr3:97944670-chr7:44609509
WDR82	UBE2H	FALSE		743=chr3:52256628-chr7:129936595,744=chr3:52256073-chr7:129836896,745=chr3:52256073-chr7:129938426
ZNF148	TRIM56	FALSE		781=chr3:125269209-chr7:101089855,782=chr3:125341317-chr7:101089852,783=chr3:125269209-chr7:101089852
KIF15	TAP2	FALSE		468=chr3:44793898-chr6:32827440,469=chr3:44793897-chr6:32827440
COL3A1	PCNT	FALSE		138=chr2:189011954-chr21:46407356,139=chr2:189011954-chr21:46407355,140=chr2:189011952-chr21:46407356,141=chr2:189011952-chr21:46407355,142=chr2:189011952-chr21:46407354,143=chr2:189011951-chr21:46407355,144=chr2:189011951-chr21:46407354,145=chr2:189011950-chr21:46407354
SPATS2L	DALRD3:WDR6	FALSE		352=chr2:200416274-chr3:49015549,353=chr2:200319572-chr3:49015549,354=chr2:200477522-chr3:49015549
NCOA1	IMPDH2	FALSE		526=chr2:24627136-chr3:49027835,528=chr2:24608719-chr3:49027835
LINC00607	LINC00607:LINC01614	TRUE		29=chr2:215713676-chr2:215718177
ACTR2	TSN	FALSE		239=chr2:65262411-chr2:121765578,240=chr2:65262410-chr2:121765578
SLC1A4	DARS	FALSE		356=chr2:65022562-chr2:135964849,357=chr2:65022562-chr2:135964848,358=chr2:65023273-chr2:135959417
MAP4K4	BZW1	FALSE		491=chr2:101721451-chr2:200821187,492=chr2:101787820-chr2:200821187,493=chr2:101879847-chr2:200821187
PLEKHB2	COL6A3	FALSE		559=chr2:131142584-chr2:237324371
SEPT10	STAT1	FALSE		646=chr2:109569441-chr2:190969784
RASGRP3	USP34	TRUE		749=chr2:33563064-chr2:61404002
USP40	CD74	FALSE		117=chr2:233559892-chr5:150401988
LIMS1	CD74	FALSE		193=chr2:108686776-chr5:150407771
SEPT10	FAM13B	FALSE		386=chr2:109544302-chr5:137957549,387=chr2:109543943-chr5:138013503,388=chr2:109543943-chr5:138013502
FN1	HSPA9	FALSE		397=chr2:215369219-chr5:138555796
ARHGAP15	HPGD	TRUE		276=chr2:143450168-chr4:174490924
FAM168B	SRP72	FALSE		389=chr2:131091652-chr4:56502162
SP110	PPM1K	FALSE		578=chr2:230217261-chr4:88259281,579=chr2:230217259-chr4:88259281
COL3A1	FAM126A	FALSE		50=chr2:189012409-chr7:22971685,51=chr2:189012409-chr7:22971682,52=chr2:189012406-chr7:22971685
KDM3A	BAZ1B	FALSE		451=chr2:86456434-chr7:73441757
MCFD2:TTC7A	SAMD9	FALSE		740=chr2:46936874-chr7:93103003,741=chr2:46936875-chr7:93103003,742=chr2:46936874-chr7:93103004
ARL4C	MAN1A1	FALSE		488=chr2:234494212-chr6:119313937
ACTR3	HNRNPK	FALSE		241=chr2:113933692-chr9:83972136
PPP1CB	VMA21	FALSE		751=chr2:28799753-chrX:151404092,752=chr2:28799465-chrX:151404092,753=chr2:28799465-chrX:151404090
SPARC	DENND4C	FALSE		360=chr5:151663329-chr9:19263669,361=chr5:151663329-chr9:19263671,362=chr5:151663329-chr9:19263670,363=chr5:151663330-chr9:19263669,364=chr5:151663330-chr9:19263670
PHAX	MELK	FALSE		501=chr5:126625597-chr9:36652730,502=chr5:126625597-chr9:36608278
BRIX1	DNAJC21	FALSE		190=chr5:34918297-chr5:34929649
ZSWIM6	NDFIP1	TRUE		784=chr5:61464174-chr5:142152345,785=chr5:61404025-chr5:142152345
ISOC1	BAZ1B	FALSE		302=chr5:129113138-chr7:73512042,303=chr5:129113138-chr7:73512041,304=chr5:129113137-chr7:73512042
PJA2	IKZF1	FALSE		556=chr5:109392562-chr7:50403348,557=chr5:109392566-chr7:50403344
CANX	WIPI2	FALSE		756=chr5:179728925-chr7:5207784,757=chr5:179728923-chr7:5207784,758=chr5:179728925-chr7:5207786,759=chr5:179730365-chr7:5220258
CD74	TUBB	FALSE		12=chr5:150409705-chr6:30724518,13=chr5:150409704-chr6:30724517
MFSD10	NPM1	FALSE		530=chr4:2930888-chr5:171392601
ZNF718	ZNF876P	FALSE		14=chr4:131505-chr4:253560
CCNI	SEC31A	FALSE		330=chr4:77067805-chr4:82864590
TBC1D14	ACTB	FALSE		687=chr4:7011564-chr7:5527639
SCARB2	RUNX2	FALSE		632=chr4:76160838-chr6:45532179
ATP8A1	ZCCHC6	TRUE		775=chr4:42412106-chr9:86351137,776=chr4:42412106-chr9:86351135,777=chr4:42409387-chr9:86351136,778=chr4:42409388-chr9:86351136
WDR1	ACSL4	FALSE		755=chr4:10097920-chrX:109642204
TES	TMOD1	FALSE		718=chr7:116257657-chr9:97589295,719=chr7:116257656-chr9:97589295
KMT2C	RAD21	TRUE		130=chr7:152205400-chr8:116847366
SND1	ATAD2	TRUE		290=chr7:127929204-chr8:123369893
FOXK1	ZNF3	FALSE		204=chr7:4754789-chr7:100070499
ACTB	GTF2I:LOC101926943	FALSE		206=chr7:5527497-chr7:74722839
PHF14	SEPT7	FALSE		213=chr7:11038855-chr7:35903076
NUDCD3	VKORC1L1	FALSE		750=chr7:44384303-chr7:65903184
ACTB	TMSB4X	FALSE		21=chr7:5528547-chrX:12976998
EEF1A1	FLNA	FALSE		7=chr6:73519149-chrX:154359768
EEF1A1	ACTB	FALSE		8=chr6:73517808-chr7:5527799
MAN1A1	ACTB	FALSE		172=chr6:119179529-chr7:5527624
RUNX2	RPS20	FALSE		622=chr6:45458036-chr8:56074455,623=chr6:45458037-chr8:56074455,624=chr6:45458038-chr8:56074455,625=chr6:45458035-chr8:56074455,626=chr6:45458037-chr8:56074456,627=chr6:45458036-chr8:56074456,628=chr6:45458035-chr8:56074456,629=chr6:45458035-chr8:56074457,630=chr6:45458036-chr8:56074457,631=chr6:45458035-chr8:56074458
SSR1	SPAG1	FALSE		671=chr6:7289505-chr8:100227856
MFSD14B	EIF2S3	FALSE		503=chr9:94419308-chrX:24077475,504=chr9:94419311-chrX:24077475
MAGIX	PLP2	FALSE		33=chrX:49165361-chrX:49173129
MED12	NLGN3	FALSE		61=chrX:71141964-chrX:71148063
H2AFX	DPAGT1	FALSE		119=chr11:119094261-chr11:119097142
GRK2	PCBP2	FALSE		181=chr11:67286552-chr12:53479493,182=chr11:67286552-chr12:53479492
CBL	CBX5	FALSE		327=chr11:119215448-chr12:54237579
AMBRA1	LYZ	FALSE		480=chr11:46450069-chr12:69353497
MALAT1	WNK1	FALSE		760=chr11:65499133-chr12:864126,761=chr11:65499133-chr12:864125,762=chr11:65499132-chr12:864126,763=chr11:65499132-chr12:864125,764=chr11:65499135-chr12:767251,765=chr11:65499134-chr12:767251,766=chr11:65499133-chr12:767251,767=chr11:65499133-chr12:864127,768=chr11:65499131-chr12:864125
NUCB2	SERINC3	FALSE		72=chr11:17279795-chr20:44500049,73=chr11:17279796-chr20:44500049,74=chr11:17279795-chr20:44500050
TMEM9B	SUPT6H	FALSE		679=chr11:8947883-chr17:28687938
RHOG	ASCC2	FALSE		187=chr11:3827915-chr22:29825716,188=chr11:3827913-chr22:29825715
BIRC3	SAFB	FALSE		634=chr11:102322955-chr19:5624706,635=chr11:102322955-chr19:5656594,636=chr11:102323995-chr19:5660953,637=chr11:102323995-chr19:5640374
ARCN1	KDM5C	FALSE		452=chr11:118583256-chrX:53206880,453=chr11:118602139-chrX:53206880,454=chr11:118602139-chrX:53206878,455=chr11:118583256-chrX:53206879,456=chr11:118583255-chrX:53206880
GANAB	CDV3	FALSE		404=chr11:62640837-chr3:133588886,405=chr11:62640840-chr3:133588885,406=chr11:62640837-chr3:133588885,407=chr11:62640840-chr3:133588882
MALAT1:TALAM1	SEPT2	FALSE		86=chr11:65503564-chr2:241343890
MALAT1:TALAM1	MCM6	FALSE		495=chr11:65502654-chr2:135852651
MALAT1:TALAM1	PPIG	FALSE		577=chr11:65502659-chr2:169594645
PTPRJ	XPO1	FALSE		600=chr11:48000153-chr2:61478689
FLI1	RAB1A	FALSE		601=chr11:128811158-chr2:65102629,602=chr11:128811158-chr2:65100767,603=chr11:128811158-chr2:65110440
EIF4G2	CD74	FALSE		11=chr11:10799084-chr5:150410683
CARS	CD74	FALSE		191=chr11:3042184-chr5:150402209,192=chr11:3042180-chr5:150402205
LDHA	RACK1	FALSE		205=chr11:18407122-chr5:181241546
CADM1	CANX	TRUE		313=chr11:115343720-chr5:179730293,314=chr11:115234906-chr5:179729990,315=chr11:115234906-chr5:179729989,316=chr11:115234909-chr5:179729989
ZFP91:ZFP91-CNTF	TNIP1	FALSE		722=chr11:58618972-chr5:151033129
GRK2	SRP72	FALSE		219=chr11:67281830-chr4:56502340
CKAP5	ACTB	FALSE		39=chr11:46763094-chr7:5527624
NUP160	ACTB	FALSE		135=chr11:47841668-chr7:5527333,136=chr11:47841668-chr7:5527335
VPS51	CBLL1	FALSE		221=chr11:65111617-chr7:107758952
MTA2	ELMO1	TRUE		373=chr11:62598119-chr7:37155493
DDIAS	HIP1	TRUE		424=chr11:82910625-chr7:75534459
TPP1	MAFK	FALSE		483=chr11:6613744-chr7:1535102,484=chr11:6613744-chr7:1535101,485=chr11:6613745-chr7:1535101
CFL1	EEF1A1	FALSE		47=chr11:65856153-chr6:73518219,48=chr11:65856153-chr6:73518220
IPO7	DSP	FALSE		368=chr11:9446284-chr6:7547615
MALAT1:TALAM1	RREB1	FALSE		620=chr11:65501281-chr6:7236743,621=chr11:65501281-chr6:7236746
MRE11	GREM1	FALSE		512=chr11:94452200-chr15:32732888
LPXN	PTPN9	FALSE		599=chr11:58527265-chr15:75491403
MALAT1:TALAM1	SCAMP2	FALSE		638=chr11:65500340-chr15:74863512
MALAT1:TALAM1	TBC1D2B	FALSE		688=chr11:65501023-chr15:78044026
OSBP	CTSB	FALSE		350=chr11:59575455-chr8:11864328
COX8A	KIAA1429	FALSE		459=chr11:63974674-chr8:94500058,460=chr11:63974674-chr8:94501261,461=chr11:63974674-chr8:94495559,462=chr11:63974674-chr8:94550097,463=chr11:63974672-chr8:94500058,464=chr11:63974672-chr8:94495559,465=chr11:63974672-chr8:94550097,466=chr11:63974672-chr8:94501261
KIF18A	IMPAD1	FALSE		470=chr11:28106560-chr8:56961426
NAP1L4	ST3GAL1	FALSE		523=chr11:2961503-chr8:133457712
SWAP70	HNRNPC	FALSE		680=chr11:9743977-chr14:21210985
VIM	RNH1	FALSE		149=chr10:17229403-chr11:498586
TM9SF3	CAPRIN1	FALSE		323=chr10:96521691-chr11:34061216
MKI67	MALAT1:TALAM1	FALSE		508=chr10:128118392-chr11:65502664
PPRC1	CD59	FALSE		581=chr10:102142415-chr11:33709407,582=chr10:102142417-chr11:33709407
VIM	SLC7A1	FALSE		150=chr10:17229625-chr13:29514488
FAM107B	ZFC3H1	TRUE		779=chr10:14519450-chr12:71611662
TM9SF3	AP3S2:C15orf38-AP3S2	FALSE		311=chr10:96527288-chr15:89856706
VIM	CSNK1D	FALSE		220=chr10:17229660-chr17:82273421
PLXDC2	SRSF1	TRUE		561=chr10:19829168-chr17:58004009,563=chr10:19829171-chr17:58004009,565=chr10:20012328-chr17:58004489,566=chr10:19867081-chr17:58004009,567=chr10:19867078-chr17:58004009,569=chr10:19829168-chr17:58004012,570=chr10:20220853-chr17:58005375
HNRNPF	YWHAE	FALSE		771=chr10:43386290-chr17:1368566,772=chr10:43386290-chr17:1385148
KCNMA1	DDX17	TRUE		450=chr10:77229341-chr22:38485032
VIM	GNAI2	FALSE		54=chr10:17229653-chr3:50236422,55=chr10:17229656-chr3:50236425
BUB3	GNAI2	FALSE		120=chr10:123164132-chr3:50245013,121=chr10:123164132-chr3:50234078
CELF2-AS1	NUP210	FALSE		538=chr10:11332446-chr3:13401262
MGEA5	TGOLN2	FALSE		505=chr10:101815976-chr2:85322082,506=chr10:101802990-chr2:85322082
EIF4EBP2	CD74	FALSE		45=chr10:70422066-chr5:150409708
MGEA5	ANKRD33B	FALSE		268=chr10:101784689-chr5:10613297
KIF11	LOC101929710	TRUE		326=chr10:92654256-chr5:96578298
PSAP	GOLPH3	FALSE		416=chr10:71817384-chr5:32161427
NFKB2	TMSB4X	FALSE		88=chr10:102402257-chrX:12977034
ITGB1	CUL4B	FALSE		351=chr10:32901181-chrX:120525431
CHUK	CPNE3	FALSE		196=chr10:100189137-chr8:86539676,197=chr10:100189137-chr8:86553765
ASCC1	ZFAND5	FALSE		287=chr10:72184791-chr9:72355083,288=chr10:72120594-chr9:72355083,289=chr10:72202469-chr9:72355083
ADD3	SMARCA2	FALSE		667=chr10:110124125-chr9:2160227
CELF2-AS1	GNAS	FALSE		415=chr10:11331759-chr20:58859644
KPNA3	ANKRD28	FALSE		58=chr13:49700563-chr3:15669905,59=chr13:49700563-chr3:15669906,60=chr13:49760417-chr3:15670207
LCP1	ANXA4	FALSE		223=chr13:46159685-chr2:69661223
MIPEP	DARS	FALSE		355=chr13:23774809-chr2:135907270
LCP1	MRPS9	FALSE		513=chr13:46126878-chr2:105039334
MIPEPP3:ZDHHC20	CD74	FALSE		332=chr13:21376181-chr5:150410682
PDS5B	SMARCA5	FALSE		552=chr13:32634598-chr4:143521493,553=chr13:32611518-chr4:143521493
SPATA13	METAP1	TRUE		672=chr13:24183621-chr4:99045245
HMGB1	OGDH	FALSE		211=chr13:30458347-chr7:44672069
LCP1	CDK5RAP2	FALSE		335=chr13:46126540-chr9:120494095,336=chr13:46126541-chr9:120494095
NUP58	YTHDF3	FALSE		770=chr13:25342098-chr8:63177775
DUSP16	DNAJC3	FALSE		369=chr12:12551463-chr13:95791695,370=chr12:12550273-chr13:95791695
PPHLN1	TFDP1	FALSE		573=chr12:42390833-chr13:113640579,574=chr12:42390834-chr13:113640579
TMPO	ATP2A2	FALSE		291=chr12:98548804-chr12:110300366
MLEC	TCF12	TRUE		63=chr12:120697443-chr15:57286704
CCND2	ANP32A	FALSE		183=chr12:4303667-chr15:68779031
SLC38A2	SLTM	FALSE		617=chr12:46360112-chr15:58923813
SLC38A2	RNF111	FALSE		618=chr12:46360112-chr15:59000177,619=chr12:46360112-chr15:59000180
TMPO	FURIN	FALSE		720=chr12:98545144-chr15:90882809
NEMP1	ARID4A	FALSE		281=chr12:57058327-chr14:58356714,282=chr12:57058327-chr14:58310730
NCAPD2	PFN1	FALSE		524=chr12:6518520-chr17:4946763,525=chr12:6518519-chr17:4946763
DENR	TOP2A	FALSE		723=chr12:122769859-chr17:40395277
TMBIM6	AP1G1	FALSE		273=chr12:49763688-chr16:71768984,714=chr12:49764699-chr16:71794862
MDM2	MEGF8	FALSE		500=chr12:68843114-chr19:42373724
PLXNC1	SYMPK	FALSE		681=chr12:94306488-chr19:45832861,682=chr12:94306488-chr19:45832860,683=chr12:94306053-chr19:45857420
CDKN1B	ZBTB7A	FALSE		773=chr12:12717810-chr19:4057783,774=chr12:12717809-chr19:4057783
SOX5	HRH4	TRUE		432=chr12:23658884-chr18:24468952
TFCP2	CECR1	FALSE		705=chr12:51129522-chr22:17180973
MED13L	CCDC50	TRUE		497=chr12:116156410-chr3:191393865
ATP2A2	SEPT10	FALSE		645=chr12:110346658-chr2:109569440
APPL2	CD74	FALSE		31=chr12:105173565-chr5:150401801
MLEC	CHD1	FALSE		62=chr12:120695002-chr5:98899599
INTS13	HNRNPA0	FALSE		189=chr12:26905448-chr5:137753148
SLC25A3	GM2A	FALSE		218=chr12:98600066-chr5:151268807
FMNL3	ATP6V0E1	FALSE		396=chr12:49700719-chr5:173034564
MON2	CANX	FALSE		510=chr12:62570733-chr5:179730367,511=chr12:62507326-chr5:179730367
GAPDH	LAP3	FALSE		472=chr12:6537120-chr4:17597134,473=chr12:6537121-chr4:17597134
PPP1CC	ABCF2	FALSE		224=chr12:110720582-chr7:151220393
FGD4	TMEM209	FALSE		392=chr12:32561091-chr7:130173695,393=chr12:32574347-chr7:130173695
FGD6	HIPK2	TRUE		394=chr12:95102451-chr7:139563620
