Left-genes	Right-genes	STAR-Fusion	Fusioncatcher
TMSB10	ACTN4		chr2:84906426-chr19:38725759
IGH_locus_(h)	KRT1		chr14:105854305-chr12:52675334
KRT1	C1ORF68		chr12:52678555-chr1:152720132
PLEKHB2	ACTB		chr2:131263932-chr7:5529200
FAM102A	GSTP1		chr9:127943141-chr11:67586525
MYO1C	PHF10		chr17:1479648-chr6:169707903
ACTB	PLEKHB2		chr7:5528567-chr2:131263873
ACTB	PLEKHB2		chr7:5528597-chr2:131263877
LINC01166	CFAP46		chr10:132944576-chr10:132942265
CD36	SLC44A1		chr7:80671121-chr9:105383135
TTBK2	CDAN1		chr15:42741453-chr15:42736719
PLEKHB2	ACTB		chr2:131263918-chr7:5529346
C3	SLC46A3		chr19:6678168-chr13:28718945
PELI3	DPP3		chr11:66473925-chr11:66482196
SYT4	APPL2		chr18:43273856-chr12:105173532
CD74	OLFML2A		chr5:150409529-chr9:124812342
HNRNPA1	SRR		chr12:54284626-chr17:2307728
PLEKHB2	ACTB		chr2:131263929-chr7:5529199
ANP32B	PTMA		chr9:98005153-chr2:231712825
LDHA	CD74		chr11:18402972-chr5:150402145
DCPS	ACTB		chr11:126304216-chr7:5528395
PPM1G	FTH1		chr2:27393373-chr11:61967542
VPS8	KIAA0100		chr3:184898624-chr17:28635427
OGFOD1	ACTG1		chr16:56470066-chr17:81511944
CTSZ	PLEC		chr20:58995324-chr8:143919938
RPS23	CNTRL		chr5:82276429-chr9:121175115
FAM46C	SERPINB9		chr1:117623354-chr6:2903251
ACTB	TYMP		chr7:5527446-chr22:50527652
COL6A3	PABPC1		chr2:237353356-chr8:100718143
LRIG3	UPF3B		chr12:58879061-chrX:119834979
PLXND1	PSMA5		chr3:129555152-chr1:109421926
ACTB	EHD4		chr7:5527287-chr15:41972441
ACTB	PLEKHB2		chr7:5528573-chr2:131263883
ACTB	PLEKHB2		chr7:5528382-chr2:131263879
WDR82	CXCL14		chr3:52255855-chr5:135578994
EPB41L2	EXOSC4		chr6:130840210-chr8:144080044
SAFB	GTF2F2		chr19:5626489-chr13:45207424
HNRNPA1	SRR		chr12:54284710-chr17:2307745
CEP19	LONP2		chr3:196712052-chr16:48354811
GPX7	FAM159A		chr1:52606945-chr1:52642863
ACTB	PLEKHB2		chr7:5528438-chr2:131263868
CPNE9	IGH_locus_(g)		chr3:9726721-chr14:105710833
CD74	SEPP1		chr5:150402152-chr5:42868819
RET	SLC38A2		chr10:43124985-chr12:46371379
ACTB	PLEKHB2		chr7:5528627-chr2:131263865
ACTB	PLEKHB2		chr7:5528335-chr2:131264164
CENPE	BDH2		chr4:103108803-chr4:103096274
COL3A1	KRT10		chr2:188994324-chr17:40822188
NEAT1	STAT1		chr11:65423687-chr2:190969827
HYOU1	COL3A1		chr11:119044364-chr2:188974469
KRT10	GNAI2		chr17:40822119-chr3:50256773
HSPA8	RBM3		chr11:123058746-chrX:48578006
LMO7-AS1	COMMD6		chr13:75618770-chr13:75549429
MCL1	HNRNPA2B1		chr1:150576076-chr7:26193329
ACTB	PLEKHB2		chr7:5528564-chr2:131263877
TMEM63A	ALDOA		chr1:225849917-chr16:30069316
ACTG1	S100A4		chr17:81510314-chr1:153545793
EEF1A1	MACF1		chr6:73519161-chr1:39368204
NFKB2	SIRT3		chr10:102400823-chr11:216717
CTSZ	PLEC		chr20:58995321-chr8:143919938
NUDT8	DOC2GP		chr11:67628323-chr11:67616118
PLEKHB2	ACTB		chr2:131263900-chr7:5529359
YBX1	IGFBP7		chr1:42696763-chr4:57109925
PLEKHB2	ACTB		chr2:131264619-chr7:5527859
ACTB	PLEKHB2		chr7:5528423-chr2:131263883
ZEB2	TRIM38		chr2:144385407-chr6:25987366
SLC1A4	PTMA		chr2:65021713-chr2:231708565
GPR155	CIR1		chr2:174439898-chr2:174395635
LAMB2	XRCC5		chr3:49123144-chr2:216141257
TMEM127	COL3A1		chr2:96251017-chr2:188994235
DALRD3	TACC1		chr3:49015549-chr8:38728270
OSBPL1A	MMP17		chr18:24167349-chr12:131851172
KRT10	CARM1		chr17:40819100-chr19:10871599
PTPN7	ARL2BP		chr1:202152564-chr16:57245158
HEXB	CD74		chr5:74721159-chr5:150401771
SRRM2	GNAS		chr16:2752819-chr20:58891652
AKT3	PYGO2		chr1:243502868-chr1:154958979
TRIM26	TMSB10		chr6:30185810-chr2:84906036
EEF1A1	MALAT1		chr6:73518519-chr11:65500478
KRT1	UNC13D		chr12:52675187-chr17:75841145
ACTB	PLEKHB2		chr7:5528552-chr2:131263883
NDUFV2	TMCO3		chr18:9122591-chr13:113500076
ZFP82	PPP4R3B		chr19:36393291-chr2:55549118
ACAP3	CLIC1		chr1:1299667-chr6:31733947
UNC5C	RNF40		chr4:95166788-chr16:30774931
ZFP82	PPP4R3B		chr19:36393293-chr2:55549118
DALRD3	TACC1		chr3:49015548-chr8:38728271
PPM1G	FTH1		chr2:27409303-chr11:61967401
PPP1CC	CLDN1		chr12:110730559-chr3:190308315
WHSC1	MBP		chr4:1939778-chr18:77017268
GTPBP1	CCDC57		chr22:38738345-chr17:82201952
ACTB	PLEKHB2		chr7:5528124-chr2:131264375
COL6A2	EEF1A1		chr21:46132719-chr6:73517634
NSMCE2	MTSS1		chr8:125182256-chr8:124591235
CD74	OLFML2A		chr5:150409529-chr9:124812345
RPL28	RPL8		chr19:55386685-chr8:144791353
RNF213	SRPK1		chr17:80345815-chr6:35921113
RPS18	COL6A3		chr6:33272726-chr2:237324455
RAD21	QDPR		chr8:116857362-chr4:17487236
KIAA0430	NAA50		chr16:15596030-chr3:113720037
PLA2G12A	CASP6		chr4:109711814-chr4:109698342
EEF1A1	TEP1		chr6:73518758-chr14:20369475
C3	RNASEH2A		chr19:6677972-chr19:12806599
MAEA	RPRD1B		chr4:1339546-chr20:38091133
PKM	PLCL2		chr15:72199166-chr3:17011557
ZBTB5	PKM		chr9:37439744-chr15:72199276
TOP2A	GSK3B		chr17:40399052-chr3:119823230
E2F2	COL1A2		chr1:23508274-chr7:94430523
ACE	APPL2		chr17:63479063-chr12:105199493
ZHX1	CHPF		chr8:123254371-chr2:219540010
NSFL1C	C1QTNF2		chr20:1458207-chr5:160349781
TPR	PPP2CA		chr1:186345646-chr5:134196553
HN1	NT5C		chr17:75148437-chr17:75131184
PTMS	DEDD		chr12:6766726-chr1:161132646
THAP11	ATXN3		chr16:67842950-chr14:92071034
PSAP	GREB1		chr10:71816564-chr2:11632029
ACTB	PLEKHB2		chr7:5529365-chr2:131263619
PABPC1	PERP		chr8:100721678-chr6:138096404
TOP2A	WDR1		chr17:40400341-chr4:10097879
PLEKHB2	ACTB		chr2:131263954-chr7:5529213
EEF1A1	RAB40C		chr6:73519955-chr16:627807
TRERF1	CCNT1		chr6:42226045-chr12:48688972
KRT10	CARM1		chr17:40818889-chr19:10871585
MVB12B	SLC7A7		chr9:126503861-chr14:22815414
ACTB	PLEKHB2		chr7:5528429-chr2:131263879
B2M	GAPDH		chr15:44717721-chr12:6537113
SFPQ	SF1		chr1:35184004-chr11:64765308
TMEM147	JAK2		chr19:35546975-chr9:5089765
AMER2	COL1A1		chr13:25169206-chr17:50185942
LGALS9	HSP90AB1		chr17:27648947-chr6:44253295
COL6A1	HYOU1		chr21:46004637-chr11:119048563
BTBD7	KPNA6		chr14:93288123-chr1:32176122
ARAP1	VIM		chr11:72726900-chr10:17229338
SRRM2	RARA		chr16:2756436-chr17:40318343
C14ORF93	KRT14		chr14:22987425-chr17:41583291
VPS26A	UBE2H		chr10:69171214-chr7:129833188
CNTROB	FAM98B		chr17:7944388-chr15:38474247
